EventPerformanceOverview.name,EventPerformanceOverview.start_date,EventPerformanceOverview.total_order_value,EventPerformanceOverview.total_tickets_sold
"Audio Obscura ADE x Innervisions [24HRS] w/ Âme, Dixon, Sama' Abdulhadi, Fjaak & more [SOLD OUT]",2024-10-19T00:00:00.000,417506.5,7134
"Audio Obscura x Cuttin' Headz ADE w/ The Martinez Brothers, Mochakk, Fleur Shore and more...",2023-10-19T00:00:00.000,189856.65,3233
"Audio Obscura ADE w/ Chris Stussy, Benny Rodrigues, BELLA, Matisa",2023-10-19T00:00:00.000,69993.25,1782
Audio Obscura ADE x Maceo Plex [open to close],2024-10-18T00:00:00.000,42265.0,944
